Wayfair Remittance #: 6431019
For Supplier: (US)SuZhouLiShunWangLuoKeJiYouXianGongSi
Date: 02/03/2023

Wayfair
100 Huntington Avenue
4 Copley Place, Suite 7000
Boston, MA 02116If you require any support or have any questions regarding this payment remittance please open an Accounting Ticket at https://partners.wayfair.com/v/submit_ticket/index
Total (USD): ,554.52
To be sent via EFT

Invoice #,PO #,Invoice Date,Product Amount,Wayfair Allowance for Damages/ Defects (4%),Shipping,Other,Tax/VAT,Payment Amount,Business,Order Type
CA436264994,CA436264994,"11/30/2022",71.98,-2.88,0,0,0,69.1,Wayfair,Drop-ship
CA437233135,CA437233135,"12/05/2022",200.99,-8.03,0,0,0,192.96,Wayfair,Drop-ship
CS435879958,CS435879958,"11/30/2022",72.89,-2.92,0,0,0,69.97,Wayfair,Drop-ship
CS436170576,CS436170576,"11/30/2022",99.89,-4,0,0,0,95.89,Wayfair,Drop-ship
CS436577374,CS436577374,"12/02/2022",31.99,-1.28,0,0,0,30.71,Wayfair,Drop-ship
CS437290376,CS437290376,"12/05/2022",99.89,-4,0,0,0,95.89,Wayfair,Drop-ship

,,Sub-total:,577.63,-23.11,0,0,0,554.52

,,,,,,,Total (USD): ,554.52

"Please Note Any deduction/invoice disputes need to be brought to our attention within 60 days of payment date. After 60 days, the dispute is not valid and will be closed."
"Visit our extranet page for more information about your account terms, contacts, allowances and dispute statuses."
